city_name,city_id
柳州,59046
扎鲁特旗,54026
赫章,56598
昭通,56586
宁强,57211
平阳,58751
会昌,58906
萍乡,57786
神池,53575
巩义市,57080
两当,57111
天台,58559
上饶县,58623
寿阳,53780
宁陕,57137
平鲁,53574
宁蒗,56567
屏南,58933
抚顺,54351
凤山,59021
连平,59096
汤原,50871
巴雅尔吐胡硕,50928
榆社,53787
澄江,56873
白水,53941
永兴,57887
洞头,58760
巨野,54914
巴里坤,52101
崆峒,53915
随州,57381
安乡,57577
南华,56767
石阡,57734
集安,54377
乐东,59940
凌源,54327
托克托,53467
建阳,58734
绥江,56483
灌阳,57964
广昌,58813
成山头,54776
阿瓦提,51722
永定,59113
保靖,57642
肇庆,592780
怀化,57749
曲靖,56786
高县,56592
龙川,59107
曹妃甸,54538
喀喇沁旗,54313
青川,57204
鄂州,57496
剑川,56646
曲松,55693
久治,56067
宁都,58806
黟县,58523
怀柔,54419
三台,57307
丹巴,56263
兴山,57359
汝阳县,57078
淄博,54830
丰镇,53484
凤县,57113
东兰,59025
新县,57396
韶山,57771
周至,57032
永和,53852
宣化,53498
洋县,57126
南宁城区,59432
阳原,53492
达州,57328
漠河,50136
蓬溪,57402
临沭,58032
德庆,59269
米泉,51369
连云港,58044
余姚,58468
库伦旗,54234
邵东,57769
射洪,57401
诏安,59320
城固,57128
弥渡,56755
西沙永兴岛,59981
丹江口,57260
文水,53771
龙岩,58927
柘城,58007
景德镇,58527
永济,57052
翁牛特旗,54213
邹平,54822
马山,59230
古浪,52784
肃北,52515
莫索湾,51353
杨凌,57123
德令哈,52737
密云,54416
木垒,51482
赤水,57609
井陉,53693
锦屏,57844
通榆,54041
阿克苏,51628
临颍县,57183
孙吴,50564
喀左,54328
启东,58269
尼勒克,51433
称多,56034
交口,53860
白沙,59848
大悟,57395
平坝,57814
开原,54254
伊吾,52118
延川,53850
都安,59037
崇明,58366
丁青,56116
沁阳市,53972
胡尔勒,50832
株洲,57780
金坛,58342
新巴尔虎左旗,50618
仙游,58936
宣恩,57541
双峰,57774
乾安,50948
松阳,58645
东乡,58618
建宁,58822
曲麻莱,56021
赤城,54404
郓城,54905
周口,57195
雷山,57837
哈巴河,51053
塔什库尔干,51804
汶川,56183
苏州,58349
申扎,55472
郧西,57251
新密市,57085
泰安,54827
北海,59644
太白,57028
牟定,56766
魏县,53896
临桂,57954
大同,53487
怀来,54405
赤峰,54218
阜宁,58143
雷州,59750
神木,53651
信阳市,57297
长春,54161
南皮,54719
深泽,54621
鄯善,51581
庐山,58506
大足,57502
柯坪,51720
汉寿,57663
获嘉县,53988
万安,57895
泾县,58432
武陟县,53987
张北,53399
扎兰屯,50639
红河,56975
繁昌,58337
希拉穆仁,53367
施甸,56842
封丘县,53983
宁阳,54913
北辰,54528
左云,53573
义乌,58557
莫力达瓦旗,50645
盈江,56836
阿城,50958
阳高,53486
图里河,50434
昭觉,56479
呈贡,56882
平南,59255
佳县,53658
镇海,58561
泸水,56643
洛扎,55686
怀集,59270
盐源,56565
东港,54590
重庆,57516
牟平,54766
桑植,57554
子长,53748
文山,56994
榆树,54072
常熟,58352
播州,57717
泸州,57602
昆明,56778
洞口,57758
云梦,57389
即墨,54855
当阳,57460
濉溪,58113
三江,57941
潼南,57409
任县,53883
祥云,56756
蔚县,53593
海宁,58455
皋兰,52884
都匀,57827
井研,56390
富川,59061
澳门,45011
灌南,58048
康乐,52988
上饶,58637
德安,58508
芷江,57745
崇仁,58710
镇安,57144
镇巴,57238
平昌,57324
康平,54244
东丰,54261
盐津,56497
安新,54605
温岭,58664
沿河,57636
罗平,56891
佳木斯,50873
容县,59452
彰武,54236
西峰,53923
苍南,58755
陈巴尔虎旗,50524
珠海,59488
建湖,58146
浑源,53582
围场,54311
安阳市,53898
伊克乌素,53522
定州,53696
靖江,58257
新安县,57070
琼海,59855
宁海,58567
永顺,57643
札达,55325
独山,57922
天等,59227
漳平,58926
革吉,55234
泸县,57508
盖州,54474
湘潭,57773
双流,56288
盐池,53723
河源,59293
陇西,56092
固阳,53357
辉南,54274
宝应,58148
抚远,50779
隆尧,53794
利津,54731
武山,57004
平江,57682
永宁,53618
彭泽,58512
祁阳,57868
周宁,58747
上栗,57783
连南,59071
邵武,58725
林芝,56312
钓鱼岛,58981
武平,58917
鱼台,54907
利川,57439
长垣县,53998
儋州,59845
锦州,54337
广汉,56291
承德县,54430
梧州,59265
陆良,56788
包头,53446
蓟县,54428
焦作市,53982
罗城,59033
文昌,59856
庆安,50861
陵川,53981
临沧,56951
当涂,58335
白朗,55579
广饶,54738
孟州市,57072
河南,56065
通河,50963
邱县,54820
呼和浩特,53463
措美,55694
邯郸,53892
平塘,57921
上思,59429
巴东,57355
铅山,58629
防城港,59635
丘北,56889
金州,54568
西充,57309
西乌珠穆沁旗,54012
文县,56192
于田,51931
澄海,59319
宜宾县,56491
阜康,51377
大通,52862
息烽,57718
临猗,53958
北安,50656
缙云,58654
大安,50945
宜君,53945
永清,54519
改则,55248
略阳,57106
皮山,51818
蚌埠,58221
辰溪,57658
武城,54709
花都,59284
黄龙,53946
房山,54596
防城,59631
通辽,54135
武义,58642
蔡甸,57489
安吉,58446
蕲春,58408
东阿,54815
旌德,58435
龙胜,57942
白杨沟,51469
沙雅,51639
德昌,56569
尚义,53397
韩城,53955
盱眙,58138
三门,58568
海林,54092
麻栗坡,56996
巫溪,57345
诸暨,58550
东光,54713
岚县,53665
吉水,58707
金塔,52447
河津,53957
仲巴,55542
香河,54521
灵宝,57056
麟游,57022
徐水,54601
仪征,58242
巍山,56757
鄢陵,57095
辛集,54701
青龙,54436
察隅,56434
保德,53660
香格里拉,56543
大冶,57499
洪湖,57581
多伦,54208
瓦房店,54563
东明,54908
潮阳,59318
南京,58238
镇宁,57809
来宾,59242
永昌,52674
雅安,56287
台南,59358
怀仁,53580
青岛,54857
长寿,57520
谷城,57268
商南,57154
潍坊,54843
平阴,54818
习水,57614
茌平,54814
桐乡,58456
汉阴,57233
华宁,56879
罗山,57298
昌乐,54837
民和,52876
伊宁市,51431
岳西,58317
光山,57299
平山,53694
南岳,57776
绥中,54454
杞县,57096
德保,59215
八里罕,54316
宜兴,58346
新民,54333
蓝山,57975
邕宁,59435
庆元,58745
阳谷,54807
宜宾,56492
大名,54804
肃宁,54626
蒲县,53864
鄄城,54904
酉阳,57633
蕉岭,59114
长阳,57464
镇沅,56867
富县,53931
临泉,58107
玛曲,56074
沅江,57671
修武县,53984
色达,56152
塔中,51747
灵丘,53594
唐山,54534
冕宁,56474
道县,57965
高平,53973
开化,58537
松原,50946
融水,57948
睢县,58001
隆安,59229
莎车,51811
迁西,54434
长汀,58911
伊川县,57074
西昌,56571
望谟,57906
达拉特旗,53457
长岛,54751
安福,57798
博山,54825
长沙,57679
顺德,59480
丹阳,58341
那坡,59209
靖远,52895
河间,54614
武都,56096
武定,56774
新平,56869
柳河,54267
樟木,55652
巴塘,56247
宾川,56752
寿光,54832
凤城,54494
富宁,59205
榆林,53646
临清,54802
嘉定,58365
霞浦,58843
和田,51828
临城,53792
政和,58736
莘县,54808
惠来,59317
连州,59072
闽侯,58844
林甸,50749
洛隆,56223
赣州,57993
阜平,53690
扬中,58247
莲塘,58607
祁县,53770
黄石,58407
澄城,53949
怀远,58127
建始,57445
来凤,57545
乌苏,51346
冷水滩,57865
迭部,56084
溧水,58340
喀什,51709
合江,57603
荆门,57377
绵竹,56186
安化,57669
邹城,54919
安岳,57408
澜沧,56954
兴仁,57902
潼关,57054
九寨沟,56097
呼玛,50353
鹤庆,56654
万山,57742
三河,54520
佛山,59288
郏县,57180
甘孜,56146
珠峰大本营,55656
临安,58448
青田,58657
马边,56480
海丰,59500
开远,56982
稷山,53954
和平,59099
娄烦,53669
晋江,59137
东安,57867
石岛,54871
望江,58418
慈利,57564
天峨,57927
鄂伦春旗,50445
潜江,57475
永靖,52980
新余,57796
昭苏,51437
奉贤,58463
雅江,56267
霸州,54518
遵义,57713
波密,56227
安宁,56863
拉孜,55569
宣城,58433
涪陵,57522
子洲,53751
武川,53368
浦东,58370
乐安,58706
米脂,53750
道真,57623
临邑,54712
乐至,57407
岗子,54214
宝山,58362
水城,56693
资兴,57981
清涧,53757
灵川,57956
冠县,54805
夏津,54803
南康,57992
忻城,59038
普兰,55437
十堰,57256
麦盖提,51810
渭南,57045
贵定,57824
抚州,58617
鹤峰,57543
大港,54645
石台,58428
津南,54622
山阳,57155
舟曲,56094
虎林,50983
凤庆,56846
青浦,58461
秦皇岛,54449
嵊州,58556
临武,57978
太原古交区,53763
秭归,57358
加格达奇,50442
新邵,57768
玉屏,57739
钦州,59632
进贤,58614
上林,59235
隰县,53853
息县,57296
中江,56199
大关,56582
石门,57562
正安,57625
武功,57034
马鞍山,58336
洪雅,56380
和政,52985
固安,54512
长兴,58443
太和,58109
蛟河,54181
浦城,58731
环江,59031
北川,56194
六合,58235
沽源,54301
闻喜,53967
博湖,51663
嘉兴,58452
上高,57699
江油,56195
班玛,56151
咸宁,57590
长泰,59122
无棣,54722
荥阳市,57081
宝清,50888
滨海新区,54623
天水,57006
莆田,58946
集宁,53480
星子,58514
衡水,54702
海口,59758
太仓,58377
扎囊,55691
南平,58834
青冈,50851
巴仑台,51467
会理,56671
玉树,56029
勃利,50973
静宁,53906
亳州,58102
南安,59131
维西,56548
永新,57891
永德,56849
永春,58934
远安,57368
洛浦,51829
东胜,53543
鄱阳,58519
姚安,56764
珙县,56499
金华,58549
恭城,59052
太康县,57099
巴彦,50867
黄山风景区,58437
鹰潭,58627
刚察,52754
临潼,57044
乌审旗,53644
隆回,57767
达尔罕茂明安联合旗,53352
乌鲁木齐,51463
威远,56395
江川,56876
蒲城,53948
临漳,53773
岳普湖,51717
阿坝,56171
莲花,57789
民权,58004
临澧,57566
镇平,57175
三穗,57832
阿拉善右旗,52576
饶河,50892
黎城,53878
峄城,58022
汉源,56376
金溪,58712
沐川,56490
白云鄂博,53343
汉中,57127
营山,57318
富锦,50788
余江,58616
从化,59285
伊春,50774
平原,54718
新绛,53964
砀山,58015
金乡,54917
逊克,50566
磐安,58560
双牌,57962
合作,56080
治多,56016
曲阜,54918
开平,59475
腾冲,56739
阿克陶,51708
霍山,58314
义县,54334
哈密,52203
六枝,57807
铜陵,58429
互助,52863
盘锦,54470
大竹,57420
上海,58367
天池,51470
青铜峡,53617
滨州,54734
马关,56995
泽普,51815
漳州,59126
叶县,57184
清徐,53774
揭西,59306
兴平,57038
石林,56881
修文,57811
陶乐,53615
浪卡子,55681
乌拉盖,50913
德江,57637
泌阳县,57281
绥化,50853
富裕,50742
东川,56688
绵阳,56196
桂东,57889
额尔古纳,50425
麦积,57014
贞丰,57905
宜都,57465
芦山,56279
巢湖,58326
博克图,50632
丽江,56651
溧阳,58345
龙海,59127
惠民,54725
大厂,54510
庆云,54728
绍兴,58453
台北,58968
个旧,56984
岑巩,57735
翼城,53962
红原,56173
嘉祥,54921
长武,53929
苍梧,59266
佛坪,57134
德钦,56444
松溪,58735
永安,58921
潞城,53880
荔浦,59055
枣强,54708
南漳,57363
平舆县,57292
屏山,56494
宁化,58818
浦江,58546
景宁,58648
巫山,57349
黄陵,53944
蒲江,56281
南通,58259
眉县,57027
尉氏,57094
费县,54929
宁南,56578
邻水,57416
化德,53391
纳溪,57604
郴州,57972
朔州,53578
平湖,58464
兰溪,58548
海力素,53231
石柱,57438
六安,58311
温江,56187
资源,57859
张掖,52652
泉州,59132
长乐,58941
龙泉,58647
富平,57042
科尔沁右翼中旗,50937
淄川,54824
太原,53772
柳林,53753
商洛,57143
江口,57736
海阳,54863
芜湖县,58338
陇县,57003
宁远,57966
夏河,52978
番禺,59481
错那,55690
海晏,52853
石河子,51356
海城,54472
奇台,51379
内乡,57169
新乡市,53986
隆化,54318
南江,57216
龙州,59417
志丹,53832
廊坊,54515
察布查尔,51430
托里,51241
无极,53699
丹寨,57829
呼和浩特市郊区,53466
桐柏,57285
景泰,52797
青龙山,54132
清丰县,54902
寿县,58215
东兴,59626
绥宁,57846
孝感,57482
宕昌,56095
全州,57960
大余,57994
新郑市,57086
景谷,56952
曲水,55586
长白,54386
松江,58462
江都,58244
千阳,57021
乐亭,54539
姜堰,58250
涿州,54502
索县,56106
绥阳,57720
澄迈,59843
揭阳,59315
双江,56950
梨树,54154
抚州,58619
岢岚,53662
太谷,53775
扎赉特旗,50833
卓尼,56082
苏州,58357
海盐,58458
迁安,54439
铜仁,57741
定陶,54909
荔波,57926
朝阳,54433
济源,53978
黄平,57822
麻城,57399
依兰,50877
应县,53584
同仁,52974
咸阳,57048
吴忠,53612
吉首,57649
兰坪,56645
淅川,57261
牡丹江,54094
聂荣,55298
武乡,53871
博罗,59297
高安,58605
桦甸,54273
台州,58665
会宁,52993
贵溪,58626
喜德,56478
同德,52957
中牟县,57090
三原,57041
巨鹿,53799
柳城,59041
万荣,53956
阿拉山口,51232
保山,56748
秦安,57002
四会,59276
宝过图,54226
达日,56046
芦溪,57794
新宁,57851
丰台,54514
新化,57761
格尔木,52818
镇雄,56595
京山,57387
峨边,56387
武强,54700
武冈,57853
光泽,58724
鄠邑区,57132
工布江达,56301
正阳县,57295
杜蒙,50842
福州,58847
道孚,56167
阜阳,58203
灵台,53924
临朐,54835
丰顺,59310
东宁,54099
克拉玛依,51243
大宁,53856
薛城,58021
南城,58715
贡觉,56233
广安,57415
清水,57011
盐城,58151
洱源,56649
昌江,59847
龙江,50739
余干,58612
南溪,56493
屯昌,59854
留坝,57124
蒙城,58118
西林,59004
甘洛,56473
贵阳,57816
饶阳,54606
黄陂,57491
五台县豆村,53681
平谷,54424
贵南,52955
宁冈,57883
邵阳县,57860
宁城,54320
桂平,59254
临汾,53868
汨罗,57680
延津县,53997
秀山,57635
南召,57176
兴县,53664
郸城县,58100
安陆,57388
罗江,56191
商河,54724
萧县,58016
原平,53673
太湖,58414
英吉沙,51802
梅县,59117
含山,58330
索伦,50834
郁南,59268
左权,53786
阳江,59663
建德,58544
元江,56966
乌恰,51705
藤县,59256
浮山,53966
永善,56489
信宜,59456
新沂,58035
尼木,55585
焉耆,51567
华亭,53927
三门峡,57051
岳池,57414
富阳,58449
安仁,57881
仁怀,57710
金平,56987
西宁,52866
米易,56670
黔西,57803
丰城,58609
辽源,54260
海门,58360
醴陵,57781
靖西,59218
仙桃,57485
五莲,54940
宾阳,59238
会泽,56684
宾县,50960
田东,59224
霍林郭勒,50924
顺平,53596
张家口,54401
五营,50772
宿迁,58131
邢台,53798
绥棱,50767
日照,54945
霍邱,58214
高雄,59554
北仑,58563
淮阳县,57192
南阳市,57178
卢氏,57067
吉隆镇,92024
兴城,54455
元阳,56976
象州,59241
郑州,57083
广水,57385
桐庐,58542
蒙自,56985
贵港,59249
太原北郊,53677
洪洞,53866
景县,54711
茂县,56180
乐业,59012
邛崃,56284
衡阳市,57872
柞水,57140
枞阳,58420
九江,58502
林西,54115
洛阳市,57073
五指山,59941
呼图壁,51367
临高,59842
简阳,56295
仪陇,57315
墨玉,51827
磴口,53419
犍为,56389
福鼎,58754
泊头,54618
庐江,58327
狮泉河,55228
霍尔果斯,51328
金湖,58147
洛南,57057
黄冈,57498
康定,56374
大武口,53518
酒泉,52533
涡阳,58114
泗阳,58132
陆丰,59502
华阴,57055
安泽,53877
萨嘎,55554
北票,54323
佛冈,59087
轮台,51642
天柱,57840
江城,56977
涟水,58140
石楼,53759
尖扎,52963
海兴,54628
横山,53740
措勤,55357
临泽,52557
策勒,51826
平陆,57061
嘉善,58451
禄劝,56775
孟津县,57071
黑山,54335
名山,56280
莱州,54749
扶沟县,57098
广南,59007
银川,53614
饶平,59313
东乌珠穆沁旗,50915
行唐,53688
通山,57595
翁源,59094
宽甸,54493
囊谦,56125
长治,53882
蠡县,54620
合川,57512
柳江,59047
巴南,57518
广州,59287
临淄,54834
越西,56475
